question_id,hops,predicted,gold,hits_at_1,precision,recall,f1,exact_match,proved,n_proved,traces,time_ms,budget_used,obs_consumed,mode,noise_rate,budget_k,label
2hop_0,2,"{'dir_10', 'dir_2', 'dir_39'}","{'dir_27', 'dir_2', 'dir_13'}",True,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,True,3,"[ProofTrace(goal=actor_directed_by(actor_80, dir_10), steps=[ProofStep(rule=[ad_actor_80_movie_35_dir_10] B ⊗ acted_in(actor_80, movie_35) ⊗ directed_by(movie_35, dir_10) ⊸ actor_directed_by(actor_80, dir_10), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_80, dir_2), steps=[ProofStep(rule=[ad_actor_80_movie_144_dir_2] B ⊗ acted_in(actor_80, movie_144) ⊗ directed_by(movie_144, dir_2) ⊸ actor_directed_by(actor_80, dir_2), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_80, dir_39), steps=[ProofStep(rule=[ad_actor_80_movie_70_dir_39] B ⊗ acted_in(actor_80, movie_70) ⊗ directed_by(movie_70, dir_39) ⊸ actor_directed_by(actor_80, dir_39), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.8232079999288544,3,3,sell,0.3,5,SELL (full)
2hop_1,2,"{'dir_26', 'dir_36'}","{'dir_26', 'dir_36'}",True,1.0,1.0,1.0,True,True,2,"[ProofTrace(goal=actor_directed_by(actor_100, dir_26), steps=[ProofStep(rule=[ad_actor_100_movie_26_dir_26] B ⊗ acted_in(actor_100, movie_26) ⊗ directed_by(movie_26, dir_26) ⊸ actor_directed_by(actor_100, dir_26), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_100, dir_36), steps=[ProofStep(rule=[ad_actor_100_movie_158_dir_36] B ⊗ acted_in(actor_100, movie_158) ⊗ directed_by(movie_158, dir_36) ⊸ actor_directed_by(actor_100, dir_36), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.32470800215378404,2,2,sell,0.3,5,SELL (full)
2hop_2,2,{'dir_37'},{'dir_37'},True,1.0,1.0,1.0,True,True,1,"[ProofTrace(goal=actor_directed_by(actor_91, dir_37), steps=[ProofStep(rule=[ad_actor_91_movie_87_dir_37] B ⊗ acted_in(actor_91, movie_87) ⊗ directed_by(movie_87, dir_37) ⊸ actor_directed_by(actor_91, dir_37), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.31433299591299146,1,1,sell,0.3,5,SELL (full)
2hop_3,2,"{'dir_19', 'dir_38', 'dir_26', 'dir_4'}","{'dir_19', 'dir_38', 'dir_26', 'dir_20'}",True,0.75,0.75,0.75,False,True,4,"[ProofTrace(goal=actor_directed_by(actor_43, dir_19), steps=[ProofStep(rule=[ad_actor_43_movie_178_dir_19] B ⊗ acted_in(actor_43, movie_178) ⊗ directed_by(movie_178, dir_19) ⊸ actor_directed_by(actor_43, dir_19), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_43, dir_26), steps=[ProofStep(rule=[ad_actor_43_movie_169_dir_26] B ⊗ acted_in(actor_43, movie_169) ⊗ directed_by(movie_169, dir_26) ⊸ actor_directed_by(actor_43, dir_26), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_43, dir_38), steps=[ProofStep(rule=[ad_actor_43_movie_94_dir_38] B ⊗ acted_in(actor_43, movie_94) ⊗ directed_by(movie_94, dir_38) ⊸ actor_directed_by(actor_43, dir_38), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_43, dir_4), steps=[ProofStep(rule=[ad_actor_43_movie_74_dir_4] B ⊗ acted_in(actor_43, movie_74) ⊗ directed_by(movie_74, dir_4) ⊸ actor_directed_by(actor_43, dir_4), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.48070800403365865,4,4,sell,0.3,5,SELL (full)
2hop_4,2,"{'dir_22', 'dir_30', 'dir_24'}","{'dir_0', 'dir_26'}",False,0.0,0.0,0.0,False,True,3,"[ProofTrace(goal=actor_directed_by(actor_51, dir_22), steps=[ProofStep(rule=[ad_actor_51_movie_97_dir_22] B ⊗ acted_in(actor_51, movie_97) ⊗ directed_by(movie_97, dir_22) ⊸ actor_directed_by(actor_51, dir_22), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_51, dir_24), steps=[ProofStep(rule=[ad_actor_51_movie_62_dir_24] B ⊗ acted_in(actor_51, movie_62) ⊗ directed_by(movie_62, dir_24) ⊸ actor_directed_by(actor_51, dir_24), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_51, dir_30), steps=[ProofStep(rule=[ad_actor_51_movie_163_dir_30] B ⊗ acted_in(actor_51, movie_163) ⊗ directed_by(movie_163, dir_30) ⊸ actor_directed_by(actor_51, dir_30), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.4052920048707165,3,3,sell,0.3,5,SELL (full)
2hop_5,2,"{'dir_10', 'dir_36', 'dir_14', 'dir_22', 'dir_34'}","{'dir_36', 'dir_14', 'dir_26', 'dir_34', 'dir_9'}",True,0.6,0.6,0.6,False,True,5,"[ProofTrace(goal=actor_directed_by(actor_105, dir_10), steps=[ProofStep(rule=[ad_actor_105_movie_35_dir_10] B ⊗ acted_in(actor_105, movie_35) ⊗ directed_by(movie_35, dir_10) ⊸ actor_directed_by(actor_105, dir_10), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_105, dir_14), steps=[ProofStep(rule=[ad_actor_105_movie_54_dir_14] B ⊗ acted_in(actor_105, movie_54) ⊗ directed_by(movie_54, dir_14) ⊸ actor_directed_by(actor_105, dir_14), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_105, dir_22), steps=[ProofStep(rule=[ad_actor_105_movie_143_dir_22] B ⊗ acted_in(actor_105, movie_143) ⊗ directed_by(movie_143, dir_22) ⊸ actor_directed_by(actor_105, dir_22), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_105, dir_34), steps=[ProofStep(rule=[ad_actor_105_movie_118_dir_34] B ⊗ acted_in(actor_105, movie_118) ⊗ directed_by(movie_118, dir_34) ⊸ actor_directed_by(actor_105, dir_34), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_105, dir_36), steps=[ProofStep(rule=[ad_actor_105_movie_111_dir_36] B ⊗ acted_in(actor_105, movie_111) ⊗ directed_by(movie_111, dir_36) ⊸ actor_directed_by(actor_105, dir_36), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.33037500543287024,5,5,sell,0.3,5,SELL (full)
2hop_6,2,"{'dir_1', 'dir_14', 'dir_22', 'dir_26', 'dir_31'}","{'dir_1', 'dir_27', 'dir_14', 'dir_26', 'dir_31', 'dir_25'}",True,0.8,0.6666666666666666,0.7272727272727272,False,True,5,"[ProofTrace(goal=actor_directed_by(actor_75, dir_1), steps=[ProofStep(rule=[ad_actor_75_movie_162_dir_1] B ⊗ acted_in(actor_75, movie_162) ⊗ directed_by(movie_162, dir_1) ⊸ actor_directed_by(actor_75, dir_1), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_75, dir_14), steps=[ProofStep(rule=[ad_actor_75_movie_159_dir_14] B ⊗ acted_in(actor_75, movie_159) ⊗ directed_by(movie_159, dir_14) ⊸ actor_directed_by(actor_75, dir_14), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_75, dir_22), steps=[ProofStep(rule=[ad_actor_75_movie_97_dir_22] B ⊗ acted_in(actor_75, movie_97) ⊗ directed_by(movie_97, dir_22) ⊸ actor_directed_by(actor_75, dir_22), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_75, dir_26), steps=[ProofStep(rule=[ad_actor_75_movie_154_dir_26] B ⊗ acted_in(actor_75, movie_154) ⊗ directed_by(movie_154, dir_26) ⊸ actor_directed_by(actor_75, dir_26), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_75, dir_31), steps=[ProofStep(rule=[ad_actor_75_movie_181_dir_31] B ⊗ acted_in(actor_75, movie_181) ⊗ directed_by(movie_181, dir_31) ⊸ actor_directed_by(actor_75, dir_31), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.3359580005053431,5,5,sell,0.3,5,SELL (full)
2hop_7,2,"{'dir_22', 'dir_37'}","{'dir_37', 'dir_1'}",True,0.5,0.5,0.5,False,True,2,"[ProofTrace(goal=actor_directed_by(actor_25, dir_22), steps=[ProofStep(rule=[ad_actor_25_movie_184_dir_22] B ⊗ acted_in(actor_25, movie_184) ⊗ directed_by(movie_184, dir_22) ⊸ actor_directed_by(actor_25, dir_22), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_25, dir_37), steps=[ProofStep(rule=[ad_actor_25_movie_87_dir_37] B ⊗ acted_in(actor_25, movie_87) ⊗ directed_by(movie_87, dir_37) ⊸ actor_directed_by(actor_25, dir_37), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.3589169937185943,2,2,sell,0.3,5,SELL (full)
2hop_8,2,"{'dir_38', 'dir_1', 'dir_5', 'dir_23', 'dir_39'}","{'dir_38', 'dir_1', 'dir_16', 'dir_23', 'dir_39'}",True,0.8,0.8,0.8000000000000002,False,True,5,"[ProofTrace(goal=actor_directed_by(actor_112, dir_1), steps=[ProofStep(rule=[ad_actor_112_movie_51_dir_1] B ⊗ acted_in(actor_112, movie_51) ⊗ directed_by(movie_51, dir_1) ⊸ actor_directed_by(actor_112, dir_1), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_112, dir_23), steps=[ProofStep(rule=[ad_actor_112_movie_41_dir_23] B ⊗ acted_in(actor_112, movie_41) ⊗ directed_by(movie_41, dir_23) ⊸ actor_directed_by(actor_112, dir_23), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_112, dir_38), steps=[ProofStep(rule=[ad_actor_112_movie_94_dir_38] B ⊗ acted_in(actor_112, movie_94) ⊗ directed_by(movie_94, dir_38) ⊸ actor_directed_by(actor_112, dir_38), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_112, dir_39), steps=[ProofStep(rule=[ad_actor_112_movie_193_dir_39] B ⊗ acted_in(actor_112, movie_193) ⊗ directed_by(movie_193, dir_39) ⊸ actor_directed_by(actor_112, dir_39), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_112, dir_5), steps=[ProofStep(rule=[ad_actor_112_movie_92_dir_5] B ⊗ acted_in(actor_112, movie_92) ⊗ directed_by(movie_92, dir_5) ⊸ actor_directed_by(actor_112, dir_5), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.964375001785811,5,5,sell,0.3,5,SELL (full)
2hop_9,2,"{'dir_17', 'dir_10'}","{'dir_17', 'dir_33'}",True,0.5,0.5,0.5,False,True,2,"[ProofTrace(goal=actor_directed_by(actor_83, dir_10), steps=[ProofStep(rule=[ad_actor_83_movie_135_dir_10] B ⊗ acted_in(actor_83, movie_135) ⊗ directed_by(movie_135, dir_10) ⊸ actor_directed_by(actor_83, dir_10), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1), ProofTrace(goal=actor_directed_by(actor_83, dir_17), steps=[ProofStep(rule=[ad_actor_83_movie_91_dir_17] B ⊗ acted_in(actor_83, movie_91) ⊗ directed_by(movie_91, dir_17) ⊸ actor_directed_by(actor_83, dir_17), consumed_observations=[], budget_consumed=True)], success=True, budget_used=1, observations_consumed=1)]",0.3330000035930425,2,2,sell,0.3,5,SELL (full)
