question_id,hops,retriever,hits_at_1,f1,proved,n_proved
mq1_0,1,tfidf,True,1.0,True,1
mq1_1,1,tfidf,True,1.0,True,1
mq1_2,1,tfidf,True,1.0,True,1
mq1_3,1,tfidf,True,1.0,True,1
mq1_4,1,tfidf,True,1.0,True,2
mq1_5,1,tfidf,True,1.0,True,1
mq1_6,1,tfidf,True,1.0,True,1
mq1_7,1,tfidf,True,1.0,True,1
mq1_8,1,tfidf,True,1.0,True,1
mq1_9,1,tfidf,True,1.0,True,1
mq1_10,1,tfidf,True,1.0,True,2
mq1_11,1,tfidf,True,1.0,True,1
mq1_12,1,tfidf,True,1.0,True,1
mq1_13,1,tfidf,True,1.0,True,1
mq1_14,1,tfidf,True,1.0,True,1
mq1_15,1,tfidf,True,1.0,True,1
mq1_16,1,tfidf,True,1.0,True,1
mq1_17,1,tfidf,True,1.0,True,1
mq1_18,1,tfidf,True,1.0,True,1
mq1_19,1,tfidf,True,1.0,True,1
mq1_20,1,tfidf,True,1.0,True,1
mq1_21,1,tfidf,True,1.0,True,1
mq1_22,1,tfidf,True,1.0,True,1
mq1_23,1,tfidf,True,1.0,True,1
mq1_24,1,tfidf,True,1.0,True,1
mq1_25,1,tfidf,True,1.0,True,1
mq1_26,1,tfidf,True,1.0,True,1
mq1_27,1,tfidf,True,1.0,True,11
mq1_28,1,tfidf,True,1.0,True,1
mq1_29,1,tfidf,True,1.0,True,1
mq1_30,1,tfidf,True,1.0,True,1
mq1_31,1,tfidf,True,1.0,True,1
mq1_32,1,tfidf,True,1.0,True,1
mq1_33,1,tfidf,True,1.0,True,1
mq1_34,1,tfidf,True,1.0,True,1
mq1_35,1,tfidf,True,1.0,True,1
mq1_36,1,tfidf,True,1.0,True,1
mq1_37,1,tfidf,True,1.0,True,1
mq1_38,1,tfidf,True,1.0,True,1
mq1_39,1,tfidf,True,1.0,True,1
mq1_40,1,tfidf,True,1.0,True,2
mq1_41,1,tfidf,True,1.0,True,1
mq1_42,1,tfidf,True,1.0,True,2
mq1_43,1,tfidf,True,1.0,True,1
mq1_44,1,tfidf,True,1.0,True,4
mq1_45,1,tfidf,True,1.0,True,2
